longitudeDecimal,latitudeDecimal,adresse
21.0356,52.2138,"Teatr na Wyspie, Promenada Królewska, Ujazdów, Śródmieście, Warszawa, województwo mazowieckie, 00-460, Polska"
22.7926540366,53.1208293805,"Pajewo, gmina Tykocin, powiat białostocki, województwo podlaskie, Polska"
22.7942562099,53.1181705482,"Kurowo-Kolonia, gmina Kobylin-Borzymy, powiat wysokomazowiecki, województwo podlaskie, Polska"
22.93,53.01,"682, Uhowo, gmina Łapy, powiat białostocki, województwo podlaskie, 18-100, Polska"
21.0293,52.2147,"Droga Belwederska, Ujazdów, Śródmieście, Warszawa, województwo mazowieckie, 00-467, Polska"
21.0303,52.2147,"Droga Belwederska, Ujazdów, Śródmieście, Warszawa, województwo mazowieckie, 00-467, Polska"
21.0106,52.2504,"15/17, Nowomiejska, Stare Miasto, Śródmieście, Warszawa, województwo mazowieckie, 00-271, Polska"
22.9287385932,53.0098379063,"682, Uhowo, gmina Łapy, powiat białostocki, województwo podlaskie, 18-100, Polska"
22.9286026954,53.0151221091,"Widokowa, Uhowo, gmina Łapy, powiat białostocki, województwo podlaskie, 18-100, Polska"
16.9567,52.4075,"Jana Pawła II, Berdychowo, Ostrów Tumski-Śródka-Zawady-Komandoria, Poznań, województwo wielkopolskie, 61-126, Polska"
22.8,54.2,"Malesowizna, gmina Jeleniewo, powiat suwalski, województwo podlaskie, 16-425, Polska"
22.8098206222,54.2252522757,"Dolina Czarnej Hańczy, Turtul, Malesowizna, gmina Jeleniewo, powiat suwalski, województwo podlaskie, Polska"
22.8105930984,54.2240480189,"Dolina Czarnej Hańczy, Turtul, Malesowizna, gmina Jeleniewo, powiat suwalski, województwo podlaskie, Polska"
22.8113333881,54.222843727,"""Doliną Czarnej Hańczy"". Przystanek 4. Staw Turtulski, Dolina Czarnej Hańczy, Turtul, Malesowizna, gmina Jeleniewo, powiat suwalski, województwo podlaskie, Polska"
22.8106789291,54.2227935474,"""Doliną Czarnej Hańczy"". Przystanek 4. Staw Turtulski, Dolina Czarnej Hańczy, Turtul, Malesowizna, gmina Jeleniewo, powiat suwalski, województwo podlaskie, Polska"
22.8114943206,54.2227935474,"""Doliną Czarnej Hańczy"". Przystanek 4. Staw Turtulski, Dolina Czarnej Hańczy, Turtul, Malesowizna, gmina Jeleniewo, powiat suwalski, województwo podlaskie, Polska"
18.7557981535792,50.4581191898836,"11, Jana Heweliusza, Kopanina, Miedary, gmina Zbrosławice, powiat tarnogórski, Górnośląsko-Zagłębiowska Metropolia, województwo śląskie, 42-676, Polska"
20.9673786155,52.1728473551,"Apron 3, Żwirki i Wigury, Nowy Służewiec, Okęcie, Włochy, Warszawa, województwo mazowieckie, 00-906, Polska"
23.0827333778,54.0690969167,"Pomnik - miejsce lądowania helikoptera papieskiego 08.06.1999, 653, Tartak, gmina Suwałki, powiat suwalski, województwo podlaskie, 16-412, Polska"
23.0637507141,54.0965498294,"Leszczewo, gmina Suwałki, powiat suwalski, województwo podlaskie, 16-412, Polska"
23.0852010101,54.0692228321,"Magdalenowo, gmina Suwałki, powiat suwalski, województwo podlaskie, 16-412, Polska"
21.6224965453,54.10092817,"Wysoki Ostrów, Dojazd pożarowy 37, Dziewiszewo, Kamionki, gmina Giżycko, powiat giżycki, województwo warmińsko-mazurskie, 11-500, Polska"
21.5751387924,53.6457696846,"58, Ruciane-Nida, gmina Ruciane-Nida, powiat piski, województwo warmińsko-mazurskie, 12-220, Polska"
21.55,53.6,"dojazd pożarowy 23, Kowalik, Oko, gmina Ruciane-Nida, powiat piski, województwo warmińsko-mazurskie, 12-220, Polska"
21.5763618797,53.6467490814,"58, Ruciane-Nida, gmina Ruciane-Nida, powiat piski, województwo warmińsko-mazurskie, 12-220, Polska"
21.576018557,53.646087673,"58, Ruciane-Nida, gmina Ruciane-Nida, powiat piski, województwo warmińsko-mazurskie, 12-220, Polska"
22.8854566815,52.9923546957,"3, Spółdzielcza, Leśniki, Łapy, gmina Łapy, powiat białostocki, województwo podlaskie, 18-100, Polska"
22.8726911536,53.0305415518,"Szutr do rzeki Narwii z Łupianki, Łupianka Stara, gmina Łapy, powiat białostocki, województwo podlaskie, 18-100, Polska"
22.8551387778,53.0297930894,"104, Łupianka Stara, gmina Łapy, powiat białostocki, województwo podlaskie, 18-100, Polska"
